fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality,cluster
7,0.27,0.36,3.0301337002713233,-3.101092789211817,45,170,3,-0.7985076962177716,8.8,6,4
6.3,0.3,0.34,0.47000362924573563,-3.0159349808715104,14,132,3.3,-0.7133498878774648,9.5,6,3
8.1,0.28,0.4,1.9315214116032138,-2.995732273553991,30,97,3.26,-0.8209805520698302,10.1,6,1
7.2,0.23,0.32,2.1400661634962708,-2.8473122684357177,47,186,3.19,-0.916290731874155,9.9,6,4
7.2,0.23,0.32,2.1400661634962708,-2.8473122684357177,47,186,3.19,-0.916290731874155,9.9,6,4
8.1,0.28,0.4,1.9315214116032138,-2.995732273553991,30,97,3.26,-0.8209805520698302,10.1,6,1
6.2,0.32,0.16,1.9459101490553132,-3.101092789211817,30,136,3.18,-0.7550225842780328,9.6,6,3
7,0.27,0.36,3.0301337002713233,-3.101092789211817,45,170,3,-0.7985076962177716,8.8,6,4
6.3,0.3,0.34,0.47000362924573563,-3.0159349808715104,14,132,3.3,-0.7133498878774648,9.5,6,3
8.1,0.22,0.43,0.4054651081081644,-3.123565645063876,28,129,3.22,-0.7985076962177716,11,6,1
8.1,0.27,0.41,0.371563556432483,-3.4112477175156566,11,63,2.99,-0.579818495252942,12,5,1
8.6,0.23,0.4,1.4350845252893227,-3.3524072174927233,17,109,3.14,-0.6348782724359695,9.7,5,1
7.9,0.18,0.37,0.1823215567939546,-3.2188758248682006,16,75,3.18,-0.4620354595965587,10.8,5,1
6.6,0.16,0.4,0.4054651081081644,-3.123565645063876,48,143,3.54,-0.6539264674066639,12.4,7,3
8.3,0.42,0.62,2.9575110607337933,-3.2188758248682006,41,172,2.98,-0.40047756659712525,9.7,5,4
6.6,0.17,0.38,0.4054651081081644,-3.4420193761824103,28,112,3.25,-0.5978370007556204,11.4,7,2
6.3,0.48,0.04,0.09531017980432493,-3.079113882493042,30,99,3.24,-1.0216512475319814,9.6,6,3
6.2,0.66,0.48,0.1823215567939546,-3.540459448995663,29,75,3.33,-0.941608539858445,12.8,8,2
7.4,0.34,0.42,0.09531017980432493,-3.4112477175156566,17,171,3.12,-0.6348782724359695,11.3,6,1
6.5,0.31,0.14,2.0149030205422647,-3.123565645063876,34,133,3.22,-0.6931471805599453,9.5,5,3
6.2,0.66,0.48,0.1823215567939546,-3.540459448995663,29,75,3.33,-0.941608539858445,12.8,8,2
6.4,0.31,0.38,1.0647107369924282,-3.270169119255751,19,102,3.17,-1.0498221244986778,11,7,2
6.8,0.26,0.42,0.5306282510621704,-3.0159349808715104,41,122,3.47,-0.7339691750802004,10.5,8,3
7.6,0.67,0.14,0.4054651081081644,-2.6036901857779675,25,168,3.05,-0.6733445532637656,9.3,5,1
