fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,colour
7.4,0.7,0,0.6418538861723947,0.076,2.3978952727983707,34,0.9978,3.51,0.56,9.4,5,Red
7.8,0.88,0,0.9555114450274363,0.098,3.2188758248682006,67,0.9968,3.2,0.68,9.8,5,Red
7.8,0.76,0.04,0.8329091229351039,0.092,2.70805020110221,54,0.997,3.26,0.65,9.8,5,Red
11.2,0.28,0.56,0.6418538861723947,0.075,2.833213344056216,60,0.998,3.16,0.58,9.8,6,Red
7.4,0.7,0,0.6418538861723947,0.076,2.3978952727983707,34,0.9978,3.51,0.56,9.4,5,Red
7.4,0.66,0,0.5877866649021191,0.075,2.5649493574615367,40,0.9978,3.51,0.56,9.4,5,Red
7.9,0.6,0.06,0.47000362924573563,0.069,2.70805020110221,59,0.9964,3.3,0.46,9.4,5,Red
7.3,0.65,0,0.1823215567939546,0.065,2.70805020110221,21,0.9946,3.39,0.47,10,7,Red
7.8,0.58,0.02,0.6931471805599453,0.073,2.1972245773362196,18,0.9968,3.36,0.57,9.5,7,Red
7.5,0.5,0.36,1.8082887711792655,0.071,2.833213344056216,102,0.9978,3.35,0.8,10.5,5,Red
6.7,0.58,0.08,0.5877866649021191,0.097,2.70805020110221,65,0.9959,3.28,0.54,9.2,5,Red
7.5,0.5,0.36,1.8082887711792655,0.071,2.833213344056216,102,0.9978,3.35,0.8,10.5,5,Red
5.6,0.615,0,0.47000362924573563,0.089,2.772588722239781,59,0.9943,3.58,0.52,9.9,5,Red
7.8,0.61,0.29,0.47000362924573563,0.114,2.1972245773362196,29,0.9974,3.26,1.56,9.1,5,Red
8.9,0.62,0.18,1.33500106673234,0.176,3.9512437185814275,145,0.9986,3.16,0.88,9.2,5,Red
8.9,0.62,0.19,1.3609765531356006,0.17,3.9318256327243257,148,0.9986,3.17,0.93,9.2,5,Red
8.5,0.28,0.56,0.5877866649021191,0.092,3.5553480614894135,103,0.9969,3.3,0.75,10.5,7,Red
8.1,0.56,0.28,0.5306282510621704,0.368,2.772588722239781,56,0.9968,3.11,1.28,9.3,5,Red
7.4,0.59,0.08,1.4816045409242156,0.086,1.791759469228055,29,0.9974,3.38,0.5,9,4,Red
7.9,0.32,0.51,0.5877866649021191,0.341,2.833213344056216,56,0.9969,3.04,1.08,9.2,6,Red
8.9,0.22,0.48,0.5877866649021191,0.077,3.367295829986474,60,0.9968,3.39,0.53,9.4,6,Red
7.6,0.39,0.31,0.8329091229351039,0.082,3.1354942159291497,71,0.9982,3.52,0.65,9.7,5,Red
7.9,0.43,0.21,0.47000362924573563,0.106,2.302585092994046,37,0.9966,3.17,0.91,9.5,5,Red
8.5,0.49,0.11,0.8329091229351039,0.084,2.1972245773362196,67,0.9968,3.17,0.53,9.4,5,Red
6.9,0.4,0.14,0.8754687373538999,0.085,3.044522437723423,40,0.9968,3.43,0.63,9.7,6,Red
6.3,0.39,0.16,0.3364722366212129,0.08,2.3978952727983707,23,0.9955,3.34,0.56,9.3,5,Red
7.6,0.41,0.24,0.5877866649021191,0.08,1.3862943611198906,11,0.9962,3.28,0.59,9.5,5,Red
7.9,0.43,0.21,0.47000362924573563,0.106,2.302585092994046,37,0.9966,3.17,0.91,9.5,5,Red
7.1,0.71,0,0.6418538861723947,0.08,2.6390573296152584,35,0.9972,3.47,0.55,9.4,5,Red
